"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 16","2,170.95","2,173.15","2,193.81","2,147.58","-","-0.12%"
"Jul 16","2,173.60","2,099.34","2,177.09","2,074.02","-","3.56%"
"Jun 16","2,098.86","2,093.94","2,120.55","1,991.68","-","0.09%"
"May 16","2,096.96","2,067.17","2,103.48","2,025.91","-","1.53%"
"Apr 16","2,065.30","2,056.62","2,111.05","2,033.80","-","0.27%"
"Mar 16","2,059.74","1,937.09","2,072.21","1,937.09","-","6.60%"
"Feb 16","1,932.23","1,936.94","1,962.96","1,810.10","-","-0.41%"
"Jan 16","1,940.24","2,038.20","2,038.20","1,812.29","-","-5.07%"
"Dec 15","2,043.94","2,082.93","2,104.27","1,993.26","-","-1.75%"
"Nov 15","2,080.41","2,080.76","2,116.48","2,019.39","-","0.05%"
"Oct 15","2,079.36","1,919.65","2,094.32","1,893.70","-","8.30%"
"Sep 15","1,920.03","1,970.09","2,020.86","1,871.91","-","-2.64%"
"Aug 15","1,972.18","2,104.49","2,112.66","1,867.01","-","-6.26%"
"Jul 15","2,103.84","2,067.00","2,132.82","2,044.02","-","1.97%"
"Jun 15","2,063.11","2,108.64","2,129.87","2,056.32","-","-2.10%"
"May 15","2,107.39","2,087.38","2,134.72","2,067.93","-","1.05%"
"Apr 15","2,085.51","2,067.63","2,125.92","2,048.38","-","0.85%"
"Mar 15","2,067.89","2,105.23","2,117.52","2,039.69","-","-1.74%"
"Feb 15","2,104.50","1,996.67","2,119.59","1,980.90","-","5.49%"
"Jan 15","1,994.99","2,058.90","2,072.36","1,988.12","-","-3.10%"
"Dec 14","2,058.90","2,065.78","2,093.55","1,972.56","-","-0.42%"
"Nov 14","2,067.56","2,018.21","2,075.76","2,001.01","-","2.45%"
"Oct 14","2,018.05","1,971.44","2,018.19","1,820.66","-","2.32%"
"Sep 14","1,972.29","2,004.07","2,019.26","1,964.04","-","-1.55%"
"Aug 14","2,003.37","1,929.80","2,005.04","1,904.78","-","3.77%"
"Jul 14","1,930.67","1,962.29","1,991.39","1,930.67","-","-1.51%"
"Jun 14","1,960.23","1,923.87","1,968.17","1,915.98","-","1.91%"
"May 14","1,923.57","1,884.39","1,924.03","1,859.79","-","2.10%"
"Apr 14","1,883.95","1,873.96","1,897.28","1,814.36","-","0.62%"
"Mar 14","1,872.34","1,857.68","1,883.97","1,834.44","-","0.69%"
"Feb 14","1,859.45","1,782.68","1,867.92","1,737.92","-","4.31%"
"Jan 14","1,782.59","1,845.86","1,850.84","1,770.45","-","-3.56%"
"Dec 13","1,848.36","1,806.55","1,849.44","1,767.99","-","2.36%"
"Nov 13","1,805.81","1,758.70","1,813.55","1,746.20","-","2.80%"
"Oct 13","1,756.54","1,682.41","1,775.22","1,646.47","-","4.46%"
"Sep 13","1,681.55","1,635.95","1,729.86","1,633.41","-","2.97%"
"Aug 13","1,632.97","1,689.42","1,709.67","1,627.47","-","-3.13%"
"Jul 13","1,685.73","1,609.78","1,698.78","1,604.57","-","4.95%"
"Jun 13","1,606.28","1,631.71","1,654.19","1,560.33","-","-1.50%"
"May 13","1,630.74","1,597.55","1,687.18","1,581.28","-","2.08%"
"Apr 13","1,597.57","1,569.18","1,597.57","1,536.03","-","1.81%"
"Mar 13","1,569.19","1,514.68","1,570.28","1,501.48","-","3.60%"
"Feb 13","1,514.68","1,498.11","1,530.94","1,485.01","-","1.11%"
"Jan 13","1,498.11","1,426.19","1,509.94","1,426.19","-","5.04%"
"Dec 12","1,426.19","1,416.34","1,448.00","1,398.11","-","0.71%"
"Nov 12","1,416.18","1,412.20","1,434.27","1,343.35","-","0.28%"
"Oct 12","1,412.16","1,440.90","1,470.96","1,403.28","-","-1.98%"
"Sep 12","1,440.67","1,406.54","1,474.51","1,396.56","-","2.42%"
"Aug 12","1,406.58","1,379.32","1,426.68","1,354.65","-","1.98%"
"Jul 12","1,379.32","1,362.33","1,391.74","1,325.41","-","1.26%"
"Jun 12","1,362.16","1,309.87","1,363.46","1,266.74","-","3.96%"
"May 12","1,310.33","1,397.86","1,415.32","1,291.98","-","-6.27%"
"Apr 12","1,397.91","1,408.47","1,422.38","1,357.38","-","-0.75%"
"Mar 12","1,408.47","1,365.90","1,419.15","1,340.03","-","3.13%"
"Feb 12","1,365.68","1,312.45","1,378.04","1,312.45","-","4.06%"
"Jan 12","1,312.41","1,258.86","1,333.47","1,258.86","-","4.36%"
"Dec 11","1,257.60","1,246.91","1,269.37","1,202.37","-","0.85%"
"Nov 11","1,246.96","1,251.00","1,277.55","1,158.66","-","-0.51%"
"Oct 11","1,253.30","1,131.21","1,292.66","1,074.77","-","10.77%"
"Sep 11","1,131.42","1,219.12","1,229.29","1,114.22","-","-7.18%"
"Aug 11","1,218.89","1,292.59","1,307.38","1,101.54","-","-5.68%"
"Jul 11","1,292.28","1,320.64","1,356.48","1,282.86","-","-2.15%"
"Jun 11","1,320.64","1,345.20","1,345.20","1,258.07","-","-1.83%"
"May 11","1,345.20","1,365.21","1,370.58","1,311.80","-","-1.35%"
"Apr 11","1,363.61","1,329.48","1,364.56","1,294.70","-","2.85%"
"Mar 11","1,325.83","1,328.64","1,332.28","1,249.05","-","-1.09%"
"Feb 11","1,340.43","1,334.37","1,341.50","1,331.00","-","4.22%"
"Jan 11","1,286.12","1,257.62","1,302.67","1,257.62","-","2.26%"
"Dec 10","1,257.64","1,186.60","1,262.60","1,186.60","-","6.53%"
"Nov 10","1,180.55","1,185.71","1,227.08","1,173.00","-","-0.23%"
"Oct 10","1,183.26","1,143.49","1,196.14","1,131.87","-","3.69%"
"Sep 10","1,141.20","1,049.72","1,157.16","1,049.72","-","8.76%"
"Aug 10","1,049.33","1,107.53","1,129.24","1,039.70","-","-4.74%"
"Jul 10","1,101.60","1,031.10","1,120.95","1,010.91","-","6.88%"
"Jun 10","1,030.71","1,087.30","1,131.23","1,028.33","-","-5.39%"
"May 10","1,089.41","1,188.58","1,205.13","1,040.78","-","-8.20%"
"Apr 10","1,186.69","1,171.23","1,219.80","1,170.69","-","1.48%"
"Mar 10","1,169.43","1,105.36","1,180.69","1,105.36","-","5.88%"
"Feb 10","1,104.49","1,073.89","1,112.42","1,044.50","-","2.85%"
"Jan 10","1,073.87","1,116.56","1,150.45","1,071.59","-","-3.70%"
"Dec 09","1,115.10","1,098.89","1,130.38","1,085.89","-","1.78%"
"Nov 09","1,095.63","1,036.18","1,113.69","1,029.38","-","5.74%"
